Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Ph¹m ¢m	0	103	912	25	4000	0	150	12;12					9012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao c¶u Nga My tôc gia dïng lµm trang søc	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	9	0					
M·n NguyÖt tr©m	0	103	921	30	14000	0	200	18;18					9021	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	9	0					
M·n NguyÖt tr©m	0	103	922	30	14000	0	200	18;18					9022	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	9	0					
M·n NguyÖt tr©m	0	103	9219	30	0	0	200	18;18					99021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	9	0					
M·n NguyÖt tr©m	0	103	9229	30	0	0	200	18;18					99022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	9	0					
ChÊp B¸t c©n	0	103	1101	20	2	0	120	12;8					11001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	11	0					
ChÊp B¸t c©n	0	103	1102	20	2	0	120	12;8					11002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	11	0					
ChÊp B¸t c©n	0	103	1103	20	2	0	120	12;8					11003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	11	0					
ChÊp B¸t c©n	0	103	1104	20	2	0	120	12;8					11004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	11	0					
Trõ Gian c©n	0	103	1111	25	4000	0	150	15;10					11011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	11	0					
Trõ Gian c©n	0	103	1112	25	4000	0	150	15;10					11012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	11	0					
Trõ Gian c©n	0	103	1113	25	4000	0	150	15;10					11013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	11	0					
Trõ Gian c©n	0	103	1114	25	4000	0	150	15;10					11014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	11	0					
Tø H¶i c©n	0	103	1121	30	14000	0	200	20;12					11021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	11	0					
Tø H¶i c©n	0	103	1122	30	14000	0	200	20;12					11022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	11	0					
Tø H¶i c©n	0	103	1123	30	14000	0	200	20;12					11023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	11	0					
Tø H¶i c©n	0	103	1124	30	14000	0	200	20;12					11024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	11	0					
Tø H¶i c©n	0	103	11219	30	0	0	200	20;12					911021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	11	0					
Tø H¶i c©n	0	103	11229	30	0	0	200	20;12					911022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	11	0					
Tø H¶i c©n	0	103	11239	30	0	0	200	20;12					911023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	11	0					
Tø H¶i c©n	0	103	11249	30	0	0	200	20;12					911024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	11	0					
KhiÕu Hoa c©n	0	103	1201	20	2	0	120	10;10					12001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	12	0					
KhiÕu Hoa c©n	0	103	1202	20	2	0	120	10;10					12002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	12	0					
KhiÕu Hoa c©n	0	103	1203	20	2	0	120	10;10					12003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	12	0					
KhiÕu Hoa c©n	0	103	1204	20	2	0	120	10;10					12004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	12	0					
Trõng ¸c c©n	0	103	1211	25	4000	0	150	12;12					12011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña ¤ Y C¸i Bang th­êng ®éi	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	12	0					
Trõng ¸c c©n	0	103	1212	25	4000	0	150	12;12					12012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña ¤ Y C¸i Bang th­êng ®éi	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	12	0					
Trõng ¸c c©n	0	103	1213	25	4000	0	150	12;12					12013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña ¤ Y C¸i Bang th­êng ®éi	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	12	0					
Trõng ¸c c©n	0	103	1214	25	4000	0	150	12;12					12014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña ¤ Y C¸i Bang th­êng ®éi	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	12	0					
Tô NghÜa c©n	0	103	1221	30	14000	0	200	18;18					12021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	12	0					
Tô NghÜa c©n	0	103	1222	30	14000	0	200	18;18					12022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	12	0					
Tô NghÜa c©n	0	103	1223	30	14000	0	200	18;18					12023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	12	0					
Tô NghÜa c©n	0	103	1224	30	14000	0	200	18;18					12024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	12	0					
Tô NghÜa c©n	0	103	12219	30	0	0	200	18;18					912021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	12	0					
Tô NghÜa c©n	0	103	12229	30	0	0	200	18;18					912022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	12	0					
Tô NghÜa c©n	0	103	12239	30	0	0	200	18;18					912023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	12	0					
Tô NghÜa c©n	0	103	12249	30	0	0	200	18;18					912024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bŞ cña ®Ö tö t¸m tói ¤ Y C¸i Bang	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	12	0					
Thanh Tu c©n	0	103	1401	20	2	0	120	8;12					14001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña Vâ §ang ®¹o gia th­êng mang khi luyÖn kiÕm	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	14	0					
Thanh Tu c©n	0	103	1402	20	2	0	120	8;12					14002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña Vâ §ang ®¹o gia th­êng mang khi luyÖn kiÕm	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	14	0					
Thanh Tu c©n	0	103	1403	20	2	0	120	8;12					14003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña Vâ §ang ®¹o gia th­êng mang khi luyÖn kiÕm	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	14	0					
Thanh Tu c©n	0	103	1404	20	2	0	120	8;12					14004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña Vâ §ang ®¹o gia th­êng mang khi luyÖn kiÕm	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	14	0					
NhËp ThÊt c©n	0	103	1411	25	4000	0	150	10;15					14011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang ®¹o gia th­êng mang trong thêi gian tu luyÖn	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	14	0					
NhËp ThÊt c©n	0	103	1412	25	4000	0	150	10;15					14012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang ®¹o gia th­êng mang trong thêi gian tu luyÖn	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	14	0					
NhËp ThÊt c©n	0	103	1413	25	4000	0	150	10;15					14013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang ®¹o gia th­êng mang trong thêi gian tu luyÖn	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	14	0					
NhËp ThÊt c©n	0	103	1414	25	4000	0	150	10;15					14014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang ®¹o gia th­êng mang trong thêi gian tu luyÖn	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	14	0					
Tø T­îng c©n	0	103	1421	30	14000	0	200	12;20					14021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	14	0					
Tø T­îng c©n	0	103	1422	30	14000	0	200	12;20					14022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	14	0					
Tø T­îng c©n	0	103	1423	30	14000	0	200	12;20					14023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	14	0					
Tø T­îng c©n	0	103	1424	30	14000	0	200	12;20					14024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	14	0					
Tø T­îng c©n	0	103	14219	30	0	0	200	12;20					914021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	14	0					
Tø T­îng c©n	0	103	14229	30	0	0	200	12;20					914022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	14	0					
Tø T­îng c©n	0	103	14239	30	0	0	200	12;20					914023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	14	0					
Tø T­îng c©n	0	103	14249	30	0	0	200	12;20					914024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bŞ dµnh cho ®Ö tö Vâ §ang ®· th«ng thuéc ngò hµnh, am hiÓu m«n thuËt	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	14	0					
Thanh Phong c©n	0	103	1501	20	2	0	120	10;10					15001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña Vâ §ang tôc gia th­êng mang khi luyÖn Bót  ph¸p	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	15	0					
Thanh Phong c©n	0	103	1502	20	2	0	120	10;10					15002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña Vâ §ang tôc gia th­êng mang khi luyÖn Bót  ph¸p	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	15	0					
Thanh Phong c©n	0	103	1503	20	2	0	120	10;10					15003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña Vâ §ang tôc gia th­êng mang khi luyÖn Bót  ph¸p	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	15	0					
Thanh Phong c©n	0	103	1504	20	2	0	120	10;10					15004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña Vâ §ang tôc gia th­êng mang khi luyÖn Bót  ph¸p	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	15	0					
ThiÓu D­¬ng c©n	0	103	1511	25	4000	0	150	12;12					15011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	15	0					
ThiÓu D­¬ng c©n	0	103	1512	25	4000	0	150	12;12					15012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	15	0					
ThiÓu D­¬ng c©n	0	103	1513	25	4000	0	150	12;12					15013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	15	0					
ThiÓu D­¬ng c©n	0	103	1514	25	4000	0	150	12;12					15014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña Vâ §ang tôc gia th­êng mang khi luyÖn Néi c«ng	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	15	0					
Linh Phong c©n	0	103	1521	30	14000	0	200	18;18					15021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	15	0					
Linh Phong c©n	0	103	1522	30	14000	0	200	18;18					15022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	15	0					
Linh Phong c©n	0	103	1523	30	14000	0	200	18;18					15023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	15	0					
Linh Phong c©n	0	103	1524	30	14000	0	200	18;18					15024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	15	0					
Linh Phong c©n	0	103	15219	30	0	0	200	18;18					915021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	15	0					
Linh Phong c©n	0	103	15229	30	0	0	200	18;18					915022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	15	0					
Linh Phong c©n	0	103	15239	30	0	0	200	18;18					915023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	15	0					
Linh Phong c©n	0	103	15249	30	0	0	200	18;18					915024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö Vâ §ang tôc gia khi h¹ s¬n	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	15	0					
