Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)	
§Şnh-C¸i Bang C«n Ph¸p	2	6	306	1	1	1	306		115									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	D¸n vµo b¶ng phô lôc MËt TŞch sÏ cã hiÖu lùc, <color=Gold>trŞ sè s¸ng mµu chŞu ¶nh h­ëng cña ®é tu luyÖn MËt TŞch<color=White><enter><enter>C«ng ph¸p hç trî d¹ng tÊn c«ng<enter><enter>Khi dïng Khu Xµ C«n Ph¸p vµ §¶ CÈu Bæng Ph¸p tÊn c«ng, <color=Gold>10%<color=White> khiÕn ®Şch bŞ cho¸ng 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Ph¸-C¸i Bang C«n Ph¸p	2	6	307	1	1	1	307		115									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>§¸nh ngo¹i c«ng t¨ng <color=Gold>5%		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
TriÓn-§¶ CÈu Bæng Ph¸p	2	6	308	1	1	1	308		123									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Kho¶ng c¸ch xuÊt chiªu t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Ng­ng-B¸ V­¬ng T¹ Gi¸p	2	6	309	1	1	1	309		121									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Tû lÖ thi triÓn chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
TÊn-Tİch D­¬ng KiÕm Khİ	2	6	310	1	1	1	310		136									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter> Sau 2 gi©y khi xuÊt chiªu Tİch D­¬ng KiÕm Khİ, cã <color=Gold>20%<color=White> tû lÖ khiÕn tèc ®é xuÊt chiªu cña Ch©n Vâ ThÊt TiÖt KiÕm t¨ng m¹nh		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
§Şnh-Ch©n Vâ ThÊt TiÖt KiÕm	2	6	311	1	1	1	311		145									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phôc mËt tŞch, <color=Gold>chŞu ¶nh h­ëng tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>ThÊt Tinh xuÊt hiÖn cã <color=Gold>40%<color=White> khiÕn tÊt c¶ môc tiªu trong ph¹m vi cho¸ng 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
TÊn-V« Ng· T©m Ph¸p	2	6	312	1	1	1	312		132									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Trong thêi gian hiÖu qu¶, tèc ®é xuÊt chiªu Tİch D­¬ng KiÕm Khİ t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Ngù-V« Ng· T©m Ph¸p	2	6	313	1	1	1	313		132									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Néi lùc triÖt tiªu s¸t th­¬ng gi¶m <color=Gold>15%<color=White>, V« cô <color=Gold>+50<color=White> ®iÓm		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Ng­ng-LiÖt DiÖm KiÕm Ph¸p	2	6	314	1	1	1	314		130									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
TÊn-B«n L«i KiÕm QuyÕt	2	6	315	1	1	1	315		131									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Rót ng¾n gi·n c¸ch sö dông vâ c«ng <color=Gold>8<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
§Şnh-Vâ §ang Bót Ph¸p	2	6	316	1	1	1	316		148									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>TÊt c¶ tÊn c«ng cã <color=Gold>5%<color=White> tû lÖ khiÕn môc tiªu hçn lo¹n 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Ph¸-Vâ §ang Bót Ph¸p	2	6	317	1	1	1	317		148									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Sau khi xuÊt chiªu Cµn Kh«n QuyÕt, ngo¹i phßng cña b¶n th©n gi¶m <color=Gold>10%<color=White>, tÊn c«ng ngo¹i c«ng t¨ng <color=Gold>20%<color=White>, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
TriÓn-ThÕ V©n Tung	2	6	318	1	1	1	318		151									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Ph¹m vi kü n¨ng t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Ng­ng-Th¸i Êt Tiªu Diªu C«ng	2	6	319	1	1	1	319		149									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Tû lÖ thi triÓn chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Ph¸-ThÊt Tinh QuyÕt	2	6	320	1	1	1	320		152									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Cã <color=Gold>20%<color=White> tû lÖ t¨ng thªm 1 tÇng s¸t th­¬ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Hãa-Lôc Khİ Hãa Ngäc C«ng	2	6	321	1	1	1	321		150									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Tiªu hao thªm <color=Gold>5%<color=White> néi lùc, cã <color=Gold>20%<color=White> tû lÖ xãa bá 1 hiÖu qu¶ cæ ®éc cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Ngù-D­¬ng Gia Ngù M· ThuËt	2	6	322	1	1	1	322		723									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Tèc ®é lªn ngùa t¨ng <color=Gold>200%		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Hãa-D­¬ng Gia B«n Lang Th­¬ng	2	6	323	1	1	1	323		724									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>XuÊt chiªu xong cã <color=Gold>30%<color=White> tû lÖ b¶n th©n miÔn dŞch tr¹ng th¸i xÊu, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ph¸-D­¬ng Gia Th­¬ng Ph¸p	2	6	324	1	1	1	324		721									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>C«ng kİch ngo¹i c«ng t¨ng <color=Gold>25%		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
¸m-D­¬ng Gia Ph¸ Phong Th­¬ng	2	6	325	1	1	1	325		722									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Cã <color=Gold>5%<color=White> tû lÖ khiÕn toµn bé thuéc tİnh kÎ thï gi¶m <color=Gold>50<color=White>, duy tr× 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
¸m-D­¬ng Gia B«n Lang Th­¬ng	2	6	326	1	1	1	326		724									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>khiÕn phßng ngù néi ngo¹i c«ng cña môc tiªu gi¶m <color=Gold>10%<color=White>, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
TÊn-Bİch NguyÖt Phi Tinh Th­¬ng	2	6	327	1	1	1	327		731									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Gi·n c¸ch sö dông vâ c«ng rót ng¾n <color=Gold>5<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
TÊn-D­¬ng Gia Tôc MÖnh QuyÕt	2	6	328	1	1	1	328		743									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Gi·n c¸ch sö dông vâ c«ng rót ng¾n <color=Gold>30<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Ng­ng-D­¬ng Gia Liªn X¹ ThuËt	2	6	329	1	1	1	329		735									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
TÊn-D­¬ng Gia Cung Ph¸p	2	6	330	1	1	1	330		734									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>XuÊt chiªu L­u Quang TuyÖt ¶nh TiÔn t¨ng <color=Gold>85%<color=White>, nh­ng gi·n c¸ch vâ c«ng kĞo dµi <color=Gold>30%		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Sinh-D­¬ng Gia Cung Ph¸p	2	6	331	1	1	1	331		734									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>TrËn LiÖu ThuËt håi phôc thªm <color=Gold>5%<color=White> sinh lùc, Tôc MÖnh QuyÕt Tôc MÖnh Ch©n Khİ håi phôc thªm <color=Gold>15000<color=White> ®iÓm sinh lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
TriÒn-D­¬ng Gia To¸i Kim TiÔn	2	6	332	1	1	1	332		741									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Trong qu¸ tr×nh xuÊt chiªu sau khi bŞ tÊn c«ng khiÕn tèc ®é ®¸nh cña kÎ thï gi¶m <color=Gold>50%<color=White>, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Ph¸-L­u Quang TuyÖt ¶nh TiÔn	2	6	333	1	1	1	333		744									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Cã <color=Gold>50%<color=White> tû lÖ t¨ng thªm 3 tÇng s¸t th­¬ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Ph¸-V¹n §éc §o¹t MÖnh §ao	2	6	334	1	1	1	334		372									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>§ßn cuèi kÌm s¸t th­¬ng ®éc <color=Gold>1000<color=White>, duy tr× 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
§Şnh-Thi Béc §¹i Ph¸p	2	6	335	1	1	1	335		369									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Næ cã <color=Gold>50%<color=White> tû lÖ khiÕn môc tiªu hçn lo¹n 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Ph¸-T¹p Thi Tµ Khİ	2	6	336	1	1	1	336		370									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Môc tiªu bŞ næ tróng sÏ gi¶m 2% sinh lùc mçi gi©y, duy tr× <color=Gold>5<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
TÊn-T¹p Thi Tµ Khİ	2	6	337	1	1	1	337		370									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>gi·n c¸ch sö dông Th«i Thi Tµ Khİ vµ Thi LiÖt Ma C«ng rót ng¾n <color=Gold>5<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Chó-Thi Béc §¹i Ph¸p	2	6	338	1	1	1	338		369									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Thi Béc §¹i Ph¸p kh«ng khiÕn C­¬ng Thi tö vong		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Ngù-Thao Thi ThuËt	2	6	339	1	1	1	339		367									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Søc chŞu ®ùng C­¬ng Thi t¨ng <color=Gold>10%<color=White>, Phßng thñ b¹o kİch t¨ng <color=Gold>25		QuyÕt YÕu	\script\item\addenda.lua	7	0		20
Sinh-Yªu Cæ	2	6	340	1	1	1	340		359									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Mçi lÇn xãa tr¹ng th¸i xÊu mçi nöa gi©y håi phôc <color=Gold>500<color=White> sinh lùc b¶n th©n, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Kú-HuyÕt Cæ	2	6	341	1	1	1	341		356									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>KhiÕn g©n cèt môc tiªu gi¶m <color=Gold>80<color=White>, trong 5 gi©y g©n cèt cña b¶n th©n t¨ng <color=Gold>80		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Kú-T©m Cæ	2	6	342	1	1	1	342		360									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>KhiÕn néi c«ng cña môc tiªu gi¶m <color=Gold>80<color=White>, trong 5 gi©y néi c«ng cña b¶n th©n t¨ng <color=Gold>80		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Tinh-V¹n Cæ Thùc Thiªn	2	6	343	1	1	1	343		361									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Mçi lÇn tróng môc tiªu cã <color=Gold>10%<color=White> tû lÖ håi phôc 1% néi lùc b¶n th©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Kú-Thi Cæ	2	6	344	1	1	1	344		358									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>KhiÕn th©n ph¸p cña môc tiªu gi¶m <color=Gold>80<color=White>, trong 5 gi©y th©n ph¸p cña b¶n th©n t¨ng <color=Gold>80		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Ph¸-§éc Cæ	2	6	345	1	1	1	345		354									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>S¸t th­¬ng cæ ®éc t¨ng <color=Gold>1000		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Ng­ng-HuyÒn Phong TriÒn ı QuyÕt	2	6	346	1	1	1	346		1031									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Tû lÖ xuÊt chiªu 2 t¨ng <color=Gold>5%		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Ngù-Tiªn Phong L­u T¸n QuyÕt	2	6	347	1	1	1	347		1028									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Sinh lùc thÊp h¬n 40%, phßng ngù néi ngo¹i c«ng t¨ng <color=Gold>15%		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
