Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tiªu Hån	0	13	9	110	75	0	210	0	147;294	123;247	1	87		58			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_014a1.spr	\image\item\weapon\Wea_lingzhi_014a0.spr	VËt hiÕm thÊy trong nh©n gian, kh«ng râ chÊt liÖu, ®¸ quı ph¸t ¸nh lam, khiÕn ng­êi bÊt tØnh	ÁéÖ¦3a	Linh Chi		6	1	0	29	0					
TuyÕt Hån	0	13	10	120	101	0	230	0	168;336	143;287	1	87		59			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_011a1.spr	\image\item\weapon\Wea_lingzhi_011a0.spr	Lµm tõ hµn ngäc ngµn n¨m trªn TuyÕt S¬n, d¸ng tùa tuyÕt liªn, v« cïng quı gi¸	ÁéÖ¦7a	Linh Chi		6	1	0	29	0					
§iÖp Thóy	0	13	11	130	4573	0	250	0	195;390	167;333	1	87		75			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_007a1.spr	\image\item\weapon\Wea_lingzhi_007a0.spr	Nh­ ı lµm b»ng ngäc tinh chän, vËt dông cña c¸c vò n­¬ng cung ®×nh	ÁéÖ¦8b	Linh Chi		7	1	0	29	0					
Ngäc Doanh	0	13	12	140	6001	0	290	0	204;408	175;350	1	87		76			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_008a1.spr	\image\item\weapon\Wea_lingzhi_008a0.spr	PhØ thóy b¹ch ngäc, tr¾ng nh­ tuyÕt, l¹nh nh­ s­¬ng ®ªm	ÁéÖ¦8a	Linh Chi		8	1	0	29	0					
Di T©m	0	13	13	140	9000	0	290	0	213;427	183;366	1	87		86			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	Qu¹t lµm tõ lôa t¬ vµng vµ gç Tö §µn, h­¬ng ®­a ¸nh l­în, lµ b¶o vËt tuyÖt thÕ	ÁéÖ¦9a	Linh Chi		9	1	0	29	0					
Hoan Linh	0	13	14	140	9000	0	290	0	224;448	191;382	1	87		96			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_013a1.spr	\image\item\weapon\Wea_lingzhi_013a0.spr	Qu¹t lµm tõ lôa t¬ t»m hiÕm cã vµ ®İnh ngäc tİm quı gi¸, t­¬ng truyÒn lµ vËt tiªn n÷ th­êng dïng	ÁéÖ¦10b	Linh Chi		10	1	0	29	0					
§¹p V©n PhiÕn	0	13	29101	30	2	0	200	0	87;173	71;143	1	87	29101	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_005a1.spr	\image\item\weapon\Wea_lingzhi_005a0.spr	Qu¹t ®Ö tö cÊp thÊp Thóy Yªn Vò Tiªn dïng khi nh¶y móa, nhÑ nhµng linh ho¹t.	ÁéÖ¦5a	§· khãa		4	1	1	29	0					
§¹p V©n PhiÕn	0	13	29102	30	2	0	200	0	87;173	71;143	1	87	29102	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_005a1.spr	\image\item\weapon\Wea_lingzhi_005a0.spr	Qu¹t ®Ö tö cÊp thÊp Thóy Yªn Vò Tiªn dïng khi nh¶y móa, nhÑ nhµng linh ho¹t.	ÁéÖ¦5a	§· khãa		4	1	1	29	0					
T©m Vò Hoa Chi	0	13	29111	40	5000	0	250	0	168;336	143;287	1	87	29111	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_011a1.spr	\image\item\weapon\Wea_lingzhi_011a0.spr	Cµnh hoa ®Ö tö cÊp cao Thóy Yªn Vò Tiªn dïng khi nh¶y móa, xinh x¾n, ng¸t h­¬ng.	ÁéÖ¦7a	§· khãa		6	1	1	29	0					
T©m Vò Hoa Chi	0	13	29112	40	5000	0	250	0	168;336	143;287	1	87	29112	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_011a1.spr	\image\item\weapon\Wea_lingzhi_011a0.spr	Cµnh hoa ®Ö tö cÊp cao Thóy Yªn Vò Tiªn dïng khi nh¶y móa, xinh x¾n, ng¸t h­¬ng.	ÁéÖ¦7a	§· khãa		6	1	1	29	0					
Thu NguyÖt Sø-§µo Hoa Chi	0	13	29121	50	15000	0	300	0	204;408	175;350	1	87	29121	76	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_004a1.spr	\image\item\weapon\Wea_lingzhi_004a0.spr	Cµnh ®µo Thóy Yªn Vò Tiªn §Ö Tö dïng khi móa d­íi tr¨ng, h­¬ng th¬m ph¶ng phÊt mª hoÆc.	ÁéÖ¦4a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	1	1	29	0					
Thu NguyÖt Sø-§µo Hoa Chi	0	13	29122	50	15000	0	300	0	204;408	175;350	1	87	29122	76	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_004a1.spr	\image\item\weapon\Wea_lingzhi_004a0.spr	Cµnh ®µo Thóy Yªn Vò Tiªn §Ö Tö dïng khi móa d­íi tr¨ng, h­¬ng th¬m ph¶ng phÊt mª hoÆc.	ÁéÖ¦4a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	1	1	29	0					
Cöu Thiªn Th¸i Ph­îng - Ph­îng Hoµng Vò	0	13	29131	50	18000	0	300	0	213;427	183;366	1	87	29131	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	§Ö tö Thóy Yªn khi nghiªn cøu kü n¨ng khëi vò, ngé ®­îc Cöu Thiªn Th¸i Phông Vò cña bøc häa trªn t­êng, khi móa tay cÇm Ph­îng Hoµng Vò.	ÁéÖ¦9a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	1	1	29	0					
Cöu Thiªn Th¸i Ph­îng - Ph­îng Hoµng Vò	0	13	29132	50	18000	0	300	0	213;427	183;366	1	87	29132	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	§Ö tö Thóy Yªn khi nghiªn cøu kü n¨ng khëi vò, ngé ®­îc Cöu Thiªn Th¸i Phông Vò cña bøc häa trªn t­êng, khi móa tay cÇm Ph­îng Hoµng Vò.	ÁéÖ¦9a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	1	1	29	0					
B¸ch Hoa T«n Gi¶ B¨ng T©m Vò PhiÕn	0	13	29141	50	50000	0	300	0	224;448	191;382	1	87	29141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_013a1.spr	\image\item\weapon\Wea_lingzhi_013a0.spr	Khi B¸ch Hoa T«n Gi¶ hiÖn th©n mu«n hoa ®ua r¬i, lµm nhiÒu ng­êi mª hoÆc, vò phiÕn ®ang dïng tªn lµ B¨ng T©m.	ÁéÖ¦10b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	1	1	29	0					
B¸ch Hoa T«n Gi¶ B¨ng T©m Vò PhiÕn	0	13	29142	50	50000	0	300	0	224;448	191;382	1	87	29142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_013a1.spr	\image\item\weapon\Wea_lingzhi_013a0.spr	Khi B¸ch Hoa T«n Gi¶ hiÖn th©n mu«n hoa ®ua r¬i, lµm nhiÒu ng­êi mª hoÆc, vò phiÕn ®ang dïng tªn lµ B¨ng T©m.	ÁéÖ¦10b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	1	1	29	0					
Hiªn Viªn L¨ng Tiªu PhiÕn	0	13	8820	50	25000	0	290	0	213;427	183;366	1	87	88020	70				\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	HËu nh©n dïng ChiÕn ı vµ M¶nh ThÇn Binh cßn l¹i cña hoµng ®Õ Hiªn Viªn ®óc l¹i thµnh 1 thÇn binh Hiªn Viªn, tªn lµ L¨ng Tiªu.	ÁéÖ¦9a	Linh Chi		9	1	1	29	0					
Tö Quang-L¨ng Tiªu PhiÕn	0	13	8870	50	25000	0	290	0	213;427	183;366	1	87	88070	90				\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	B¾t ch­íc chÕ t¹o Hiªn Viªn vò khİ, thªm linh khİ Tö quang thÇn thó, cã thÓ ®em so s¸nh víi vËt thËt	ÁéÖ¦9a	Linh Chi		9	1	1	29	0					
B¹ch Vò	0	13	10014	30	1	0	70	0	18;33	13;27	1	87		1			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_001a1.spr	\image\item\weapon\Wea_lingzhi_001a0.spr	Lµm b»ng l«ng vò tr¾ng, vËt tïy th©n cña c¸c vò n­¬ng.	ÁéÖ¦2a	Linh Chi		2	1	0	29	0					
§o¶n Tiªu 	0	12	10013	20	1	0	70	0	15;27	7;13	1	87		1			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_001a1.spr	\image\item\weapon\Wea_di_001a0.spr	Lo¹i tiªu th­êng, kh¸ ng¾n, dïng cho ng­êi míi nhËp m«n	µÑ2a	Tiªu		2	1	0	30	0					
Th«ng Thiªn DiÖt §Şch §ao	0	3	30031	50	26000	0	300	0	252;505		1	100	30048	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bla_013a1.spr	\image\item\weapon\wea_bla_013a0.spr	DiÖt §Şch §ao	µ¥µ¶8a	§¬n ®ao		10	1	1	2	0					
Th«ng Thiªn DiÖt §Şch C«n	0	5	30032	50	26000	0	300	0	205;410		1	84	30049	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_013a1.spr	\image\item\weapon\wea_sta_013a0.spr	DiÖt §Şch C«n	¹÷8a	C«n		10	1	1	2	0					
Th«ng Thiªn DiÖt §Şch Tr­îng	0	8	30033	50	26000	0	300	0	187;374	257;514	1	86	30050	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_can_013a1.spr	\image\item\weapon\wea_can_013a0.spr	DiÖt §Şch Tr­îng	ÎıÕÈ8a	Tİch tr­îng		10	1	1	3	0					
Th«ng Thiªn DiÖt §Şch Thñ	0	0	30034	50	26000	0	300	0	261;522	224;448	1	90	30051	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	DiÖt §Şch Thñ	¿ÕÊÖ	Hé thñ		10	1	1	4	0					
Th«ng Thiªn DiÖt §Şch Ch©m	0	1	30035	50	26000	0	300	0	152;305		1	80	30052	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_dar_015a1.spr	\image\item\weapon\wea_dar_015a0.spr	DiÖt §Şch Ch©m	°µÆ÷	¸m khİ		10	1	1	6	0					
Th«ng Thiªn DiÖt §Şch KiÕm	0	2	30036	50	26000	0	300	0	165;330	291;582	1	86	30053	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_008a1.spr	\image\item\weapon\wea_swd_008a0.spr	DiÖt §Şch KiÕm	³¤½£8a	Tr­êng kiÕm		10	1	1	8	0					
Th«ng Thiªn DiÖt §Şch CÇm	0	10	30037	50	26000	0	300	1	191;382	222;445	1	90	30054	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qin_013a1.spr	\image\item\weapon\wea_qin_013a0.spr	DiÖt §Şch CÇm	ÇÙ8a	CÇm		10	1	1	9	0					
Th«ng Thiªn DiÖt §Şch Thñ	0	0	30038	50	26000	0	300	0	261;522	224;448	1	90	30055	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_han_014a1.spr	\image\item\weapon\wea_han_014a0.spr	DiÖt §Şch Thñ	¿ÕÊÖ	Hé thñ		10	1	1	11	0					
Th«ng Thiªn Ph¸ TrËn C«n	0	5	30039	50	26000	0	300	0	205;410		1	84	30056	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_sta_013a1.spr	\image\item\weapon\wea_sta_013a0.spr	Ph¸ TrËn C«n	¹÷8a	C«n		10	1	1	12	0					
Th«ng Thiªn Ph¸ TrËn KiÕm 	0	2	30040	50	26000	0	300	0	165;330	291;582	1	86	30057	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_013a1.spr	\image\item\weapon\wea_swd_013a0.spr	Ph¸ TrËn KiÕm 	³¤½£8a	Tr­êng kiÕm		10	1	1	14	0					
Th«ng Thiªn Ph¸ TrËn Bót	0	9	30041	50	26000	0	300	0	172;345		1	110	30058	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_bru_016a1.spr	\image\item\weapon\wea_bru_016a0.spr	Ph¸ TrËn Bót	±Ê8a	Bót		10	1	1	15	0					
Th«ng Thiªn Ph¸ TrËn Th­¬ng	0	6	30042	50	26000	0	300	0	135;405		1	86	30059	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_qan_011a1.spr	\image\item\weapon\wea_qan_011a0.spr	Ph¸ TrËn Th­¬ng	Ç¹8a	Th­¬ng		10	1	1	17	0					
Thiªn Thiªn Ph¸ TrËn Cung	0	4	30043	50	26000	0	300	1	175;350		1	86	30060	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_gon_009a1.spr	\image\item\weapon\wea_gon_009a0.spr	Ph¸ TrËn Cung	¹­8a	Cung		10	1	1	18	0					
Th«ng Nhiªn Ph¸ TrËn NhÉn	0	7	30044	50	26000	0	300	2	187;374	261;522	1	105	30061	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_ddao_011a1.spr	\image\item\weapon\wea_ddao_011a0.spr	Ph¸ TrËn NhÉn	Ë«µ¶8a	Song ®ao		10	1	1	20	0					
Th«ng Thiªn Ph¸ TrËn Tr¶o	0	11	30045	50	26000	0	300	2	187;374	224;448	1	105	30062	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_zhua_011a1.spr	\image\item\weapon\wea_zhua_011a0.spr	Ph¸ TrËn Tr¶o	×¦8a	Tr¶o		10	1	1	21	0					
Linh Phï KiÕm	0	2	23101	30	2	0	200	0	78;156	142;284	1	105	23101	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_008a1.spr	\image\item\weapon\wea_swd_008a0.spr	Tr­êng kiÕm ®Ö tù cÊp thÊp C«n L«n Thiªn S­ dïng cã kÌm theo Linh Phï trõ ®­îc ¸c khİ.	³¤½£4a	§· khãa		4	1	1	23	0					
Linh Phï KiÕm	0	2	23102	30	2	0	200	0	78;156	142;284	1	105	23102	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_008a1.spr	\image\item\weapon\wea_swd_008a0.spr	Tr­êng kiÕm ®Ö tù cÊp thÊp C«n L«n Thiªn S­ dïng cã kÌm theo Linh Phï trõ ®­îc ¸c khİ.	³¤½£4a	§· khãa		4	1	1	23	0					
Bİ Ph¸p Tr­êng KiÕm	0	2	23111	40	5000	0	250	0	130;260	232;464	1	105	23111	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_011a1.spr	\image\item\weapon\wea_swd_011a0.spr	Tr­êng kiÕm ®Ö tö cÊp cao C«n L«n Thiªn S­ dïng, chøa ph¸p lùc ®Æc biÖt cã thÓ gi¸ng yªu trõ ma.	³¤½£5b	§· khãa		6	1	1	23	0					
Bİ Ph¸p Tr­êng KiÕm	0	2	23112	40	5000	0	250	0	130;260	232;464	1	105	23112	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_011a1.spr	\image\item\weapon\wea_swd_011a0.spr	Tr­êng kiÕm ®Ö tö cÊp cao C«n L«n Thiªn S­ dïng, chøa ph¸p lùc ®Æc biÖt cã thÓ gi¸ng yªu trõ ma.	³¤½£5b	§· khãa		6	1	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Quang B¶o KiÕm	0	2	23121	50	15000	0	300	0	160;320	280;560	1	105	23121	76	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	TrÊn Yªu §¹o Nh©n hµng yªu v« sè, b¶o kiÕm së h÷u chøa ®¹o ph¸p v« biªn khiÕn yªu ma khiÕp sî.	³¤½£7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	1	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Quang B¶o KiÕm	0	2	23122	50	15000	0	300	0	160;320	280;560	1	105	23122	76	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_023a1.spr	\image\item\weapon\wea_swd_023a0.spr	TrÊn Yªu §¹o Nh©n hµng yªu v« sè, b¶o kiÕm së h÷u chøa ®¹o ph¸p v« biªn khiÕn yªu ma khiÕp sî.	³¤½£7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	1	1	23	0					
Tö Vi §¹o Nh©n - Thiªn Quang B¶o KiÕm	0	2	23131	50	18000	0	300	0	165;330	291;582	1	86	23131	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_024a1.spr	\image\item\weapon\wea_swd_024a0.spr	Tö Vi §¹o Nh©n khi tÕ trêi h« m­a gäi sÊm, uy chÊn tam giíi, b¶o kiÕm së h÷u lµ vËt quı gi¸, tªn lµ Thiªn Quang.	³¤½£7b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	1	1	23	0					
Tö Vi §¹o Nh©n - Thiªn Quang B¶o KiÕm	0	2	23132	50	18000	0	300	0	165;330	291;582	1	86	23132	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_024a1.spr	\image\item\weapon\wea_swd_024a0.spr	Tö Vi §¹o Nh©n khi tÕ trêi h« m­a gäi sÊm, uy chÊn tam giíi, b¶o kiÕm së h÷u lµ vËt quı gi¸, tªn lµ Thiªn Quang.	³¤½£7b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	1	1	23	0					
Hång M«ng Ch©n Nh©n HuyÒn Quang B¶o KiÕm 	0	2	23141	50	50000	0	300	0	165;330	291;582	1	86	23141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	B¶o kiÕm ®­îc dïng khi Hång Méng Ch©n Nh©n hµng yªu phôc ma, tö sa linh khİ Èn hiÖn xung quanh, khiÕn ma qu¸i võa nh×n ®· sî. Tªn lµ HuyÒn Quang	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	1	1	23	0					
Hång M«ng Ch©n Nh©n HuyÒn Quang B¶o KiÕm 	0	2	23142	50	50000	0	300	0	165;330	291;582	1	86	23142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_swd_025a1.spr	\image\item\weapon\wea_swd_025a0.spr	B¶o kiÕm ®­îc dïng khi Hång Méng Ch©n Nh©n hµng yªu phôc ma, tö sa linh khİ Èn hiÖn xung quanh, khiÕn ma qu¸i võa nh×n ®· sî. Tªn lµ HuyÒn Quang	³¤½£8a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	1	1	23	0					
Hiªn Viªn L«i Minh KiÕm	0	2	8816	50	25000	0	300	0	160;320	283;566	1	86	88016	70				\image\item\weapon\wea_swd_024a1.spr	\image\item\weapon\wea_swd_024a0.spr	HËu nh©n dïng ChiÕn ı vµ M¶nh ThÇn Binh cßn l¹i cña hoµng ®Õ Hiªn Viªn ®óc l¹i thµnh 1 thÇn binh Hiªn Viªn, cã tªn L«i Minh.	³¤½£7b	Tr­êng kiÕm		9	1	1	23	0					
Th«ng Thiªn DiÖt §Şch KiÕm	0	2	30046	50	26000	0	300	0	165;330	291;582	1	86	30096	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_23a1.spr	\image\item\weapon\wea_5v5liupai_23a0.spr	DiÖt §Şch KiÕm	³¤½£8a	Tr­êng kiÕm		10	1	1	23	0					
Th«ng Thiªn DiÖt §Şch §ao	0	3	30047	200	9000	0	300	0	252;505		1	100	30097	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_25a1.spr	\image\item\weapon\wea_5v5liupai_25a0.spr	DiÖt §Şch §ao	µ¥µ¶8a	§¬n ®ao		10	1	1	25	0					
Th«ng Thiªn DiÖt §Şch Bót	0	9	30048	130	9000	0	300	0	252;505		1	110	30098	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_26a1.spr	\image\item\weapon\wea_5v5liupai_26a0.spr	VËt l­u truyÒn tõ thêi th­îng cæ	±Ê8a	Bót		10	1	1	26	0					
Th«ng Thiªn DiÖt §Şch Tr¶o	0	11	30049	215	9000	0	300	2	165;330	291;582	1	105	30099	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_27a1.spr	\image\item\weapon\wea_5v5liupai_27a0.spr	VËt l­u truyÒn tõ thêi th­îng cæ	×¦8a	Tr¶o		10	1	1	27	0					
Th«ng Thiªn DiÖt §Şch Chi	0	13	30050	50	26000	0	300	0	224;448	191;382	1	87	30100	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_29a1.spr	\image\item\weapon\wea_5v5liupai_29a0.spr	VËt l­u truyÒn tõ thêi th­îng cæ	ÁéÖ¦8b	Linh Chi		10	1	1	29	0					
Th«ng Thiªn DiÖt §Şch Tiªu	0	12	30051	50	26000	0	300	0	173;345	88;175	1	87	31122	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_30a1.spr	\image\item\weapon\wea_5v5liupai_30a0.spr	VËt l­u truyÒn tõ thêi th­îng cæ	µÑ8b	Tiªu		10	1	1	30	0					
Ch©n Ma §ao	0	3	30052	200	18000	0	300	0	1000;1000		1	100	31102	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_01a1.spr	\image\item\weapon\wea_lv11_liupai_01a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	ÉÙÁÖµ¶11	§¬n ®ao	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	2	0					
Ch©n Ma Thñ	0	0	30053	50	18000	0	300	0	1000;1000	1000;1000	1	90	31103	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_03a1.spr	\image\item\weapon\wea_lv11_liupai_03a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	¿ÕÊÖ	Hé thñ	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	4	0					
Ch©n Ma Tr­îng	0	8	30054	100	18000	0	300	0	1000;1000	1000;1000	1	86	31104	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_04a1.spr	\image\item\weapon\wea_lv11_liupai_04a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	ÉÙÁÖìø11	Tİch tr­îng	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	3	0					
Ch©n Ma Ch©m	0	1	30055	50	18000	0	300	0	1000;1000		1	80	31105	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_06a1.spr	\image\item\weapon\wea_lv11_liupai_06a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	°µÆ÷	¸m khİ	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	6	0					
Ch©n Ma KiÕm	0	2	30056	90	18000	0	300	0	1000;1000	1000;1000	1	86	31106	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_08a1.spr	\image\item\weapon\wea_lv11_liupai_08a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	¶ëÃ¼½£11	Tr­êng kiÕm	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	8	0					
Ch©n Ma CÇm	0	10	30057	140	18000	0	300	1	1000;1000	1000;1000	1	90	31107	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_09a1.spr	\image\item\weapon\wea_lv11_liupai_09a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	¶ëÃ¼ÇÙ11	CÇm	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	9	0					
Ch©n Ma Thñ	0	0	30058	50	18000	0	300	0	1000;1000	1000;1000	1	90	31108	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_11a1.spr	\image\item\weapon\wea_lv11_liupai_11a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	¿ÕÊÖ	Hé thñ	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	11	0					
Ch©n Ma C«n	0	5	30059	200	18000	0	300	0	1000;1000		1	84	31109	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_12a1.spr	\image\item\weapon\wea_lv11_liupai_12a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	Ø¤°ï¹÷11	C«n	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	12	0					
Ch©n Ma KiÕm	0	2	30060	90	18000	0	300	0	1000;1000	1000;1000	1	86	31110	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_14a1.spr	\image\item\weapon\wea_lv11_liupai_14a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	Îäµ±½£11	Tr­êng kiÕm	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	14	0					
Ch©n Ma Bót	0	9	30061	130	18000	0	300	0	1000;1000		1	110	31111	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_15a1.spr	\image\item\weapon\wea_lv11_liupai_15a0.spr	Ma ®¹o, chuyªn tÊn c«ng, uy lùc cùc m¹nh.	Îäµ±±Ê11	Bót	\script\missions\kuafu_battle\item\weapon_limit.lua	10	1	1	15	0					
